Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,r_studio_yn,spark_yn,aws_yn,excel_yn
Data Analyst,$46K-$85K (Glassdoor est.),Job Description,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,"Yesler
", WA,14,0,0,0,0,0
Data Scientist,$83K-$144K (Glassdoor est.),Job Description,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144,113.5,"Takeda Pharmaceuticals
", MA,245,0,0,0,0,0
Data Engineer I,$102K-$190K (Glassdoor est.),Job Description,3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190,146.0,"Audible
", NJ,31,0,0,0,0,0
"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),Job Description,3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102.0,"Blueprint Medicines
", MA,15,0,0,0,0,0
Customer Data Scientist,$118K-$189K (Glassdoor est.),Job Description,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,118,189,153.5,"h2o.ai
", CA,15,0,0,0,0,0
Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),Job Description,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,"Nuna
", CA,16,0,0,0,0,0
Data Scientist,$64K-$111K (Glassdoor est.),Job Description,4.0,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,64,111,87.5,"Pinnacol Assurance
", CO,111,0,0,0,0,0
Data Scientist,$81K-$130K (Glassdoor est.),Job Description,3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,"Porch
", WA,14,0,0,0,0,0
Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),Job Description,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,119,96.0,"Health IQ
", TX,13,0,0,0,0,0
Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),Job Description,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,86,139,112.5,"Truckstop.com
", IL,31,0,0,0,0,0
Data Scientist,$63K-$105K (Glassdoor est.),Job Description,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,63,105,84.0,"SMC 3
", KY,91,0,0,0,0,0
Data Scientist,$109K-$177K (Glassdoor est.),Job Description,4.0,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143.0,"Novetta
", VA,14,0,0,0,0,0
Digital Health Data Scientist,$63K-$110K (Glassdoor est.),Job Description,4.0,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,110,86.5,"Pfizer
", MA,177,0,0,0,0,0
Data Scientist,$75K-$124K (Glassdoor est.),Job Description,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,75,124,99.5,"First Tech Federal Credit Union
", OR,74,0,0,0,0,0
Associate Data Analyst,$34K-$61K (Glassdoor est.),Job Description,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,34,61,47.5,"The Hanover Insurance Group
", MA,174,0,0,0,0,0
Clinical Data Scientist,$63K-$105K (Glassdoor est.),Job Description,4.0,"Pfizer
4.0","Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,105,84.0,"Pfizer
", CT,177,0,0,0,0,0
Data Scientist,$80K-$90K (Glassdoor est.),Job Description,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,"KnowBe4
", FL,16,0,0,0,0,0
Data Scientist,$56K-$97K (Glassdoor est.),Job Description,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,"PNNL
", WA,61,0,0,0,0,0
Data Scientist,$72K-$120K (Glassdoor est.),Job Description,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,72,120,96.0,"Amrock
", MI,29,0,0,0,0,0
Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),Job Description,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,86,143,114.5,"Novartis
", MA,30,0,0,0,0,0
Data Scientist,$93K-$149K (Glassdoor est.),Job Description,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,93,149,121.0,"Juniper Networks
", CA,30,0,0,0,0,0
Data Scientist,$85K-$140K (Glassdoor est.),Job Description,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140,112.5,"New England Biolabs
", MA,52,0,0,0,0,0
Web Data Analyst,$77K-$135K (Glassdoor est.),Job Description,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,135,106.0,"Clarity Insights
", CA,18,0,0,0,0,0
Data Scientist,$82K-$132K (Glassdoor est.),Job Description,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132,107.0,"Esri
", CA,57,0,0,0,0,0
Data Scientist,$83K-$137K (Glassdoor est.),Job Description,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,83,137,110.0,"Systems & Technology Research
", MA,16,0,0,0,0,0
Senior Data Scientist,$115K-$180K (Glassdoor est.),Job Description,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,115,180,147.5,"Sartorius
", CA,156,0,0,0,0,0
Data Engineer,$74K-$138K (Glassdoor est.),Job Description,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,74,138,106.0,"Lancer Insurance
", NY,41,0,0,0,0,0
Data Analyst,$64K-$112K (Glassdoor est.),Job Description,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112,88.0,"Sauce Labs
", CA,18,0,0,0,0,0
Data Engineer,$68K-$129K (Glassdoor est.),Job Description,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,68,129,98.5,"Persivia
", MA,-1,0,0,0,0,0
Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),Job Description,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,"Nuna
", CA,16,0,0,0,0,0
Scientist,$52K-$113K (Glassdoor est.),Job Description,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113,82.5,"Edgewell Personal Care
", NJ,11,0,0,0,0,0
Senior Data Scientist,$110K-$150K(Employer est.),Job Description,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150,130.0,"Equity Residential
", IL,33,0,0,0,0,0
Data Scientist,Employer Provided Salary:$150K-$160K,Job Description,5.0,"BPA Services
5.0","Washington, DC","Alexandria, VA",Unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,150,160,155.0,"BPA Services
", DC,-1,0,0,0,0,0
Lead Data Scientist,$158K-$211K (Glassdoor est.),Job Description,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211,184.5,"Visa Inc.
", WA,68,0,0,0,0,0
Associate Data Analyst,$20K-$39K (Glassdoor est.),Job Description,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,20,39,29.5,"Intrado
", CO,40,0,0,0,0,0
Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),Job Description,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117,86.5,"Centauri
", OH,27,0,0,0,0,0
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),Job Description,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99,81.0,"Caterpillar
", IL,101,0,0,0,0,0
Data Scientist,$68K-$114K (Glassdoor est.),Job Description,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,68,114,91.0,"Zimmerman Advertising
", FL,42,0,0,0,0,0
"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),Job Description,3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143,114.5,"Liberty Mutual Insurance
", MA,114,0,0,0,0,0
Data Science Analyst,$41K-$95K (Glassdoor est.),Job Description,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,41,95,68.0,"Torch Technologies, Inc.
", AL,24,0,0,0,0,0
Data Scientist,$86K-$144K (Glassdoor est.),Job Description,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144,115.0,"Swiss Re
", NY,163,0,0,0,0,0
Data Scientist,$80K-$139K (Glassdoor est.),Job Description,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139,109.5,"Northrop Grumman
", CA,87,0,0,0,0,0
Data Scientist,$56K-$95K (Glassdoor est.),Job Description,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95,75.5,"Sartorius
", NM,156,0,0,0,0,0
Data Scientist,$120K-$189K (Glassdoor est.),Job Description,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189,154.5,"Netskope
", CA,14,0,0,0,0,0
Data Scientist,$111K-$176K (Glassdoor est.),Job Description,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176,143.5,"1904labs
", MO,10,0,0,0,0,0
Data Scientist,$54K-$93K (Glassdoor est.),Job Description,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,"ClearOne Advantage
", MD,18,0,0,0,0,0
Data Scientist,$71K-$119K (Glassdoor est.),Job Description,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,"CyrusOne
", TX,26,0,0,0,0,0
Senior Data Scientist,$82K-$132K (Glassdoor est.),Job Description,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,82,132,107.0,"The David J. Joseph Company
", OH,141,0,0,0,0,0
Data Scientist,$84K-$146K (Glassdoor est.),Job Description,4.3,"USEReady
4.3","New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,84,146,115.0,"USEReady
", NY,15,0,0,0,0,0
Senior Risk Data Scientist,$107K-$172K (Glassdoor est.),Job Description,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,107,172,139.5,"Bill.com
", CA,20,0,0,0,0,0
Data Scientist in Artificial Intelligence Early Career,$49K-$85K (Glassdoor est.),Job Description,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85,67.0,"Pacific Northwest National Laboratory
", WA,61,0,0,0,0,0
Data Scientist,$61K-$109K (Glassdoor est.),Job Description,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109,85.0,"DICK'S Sporting Goods - Corporate
", PA,78,0,0,0,0,0
Data Scientist,$88K-$148K (Glassdoor est.),Job Description,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,88,148,118.0,"Berg Health
", MA,20,0,0,0,0,0
Data Scientist,$60K-$99K (Glassdoor est.),Job Description,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,60,99,79.5,"Oversight Systems
", GA,23,0,0,0,0,0
Data Scientist - Research,$41K-$72K (Glassdoor est.),Job Description,3.1,"C Space
3.1","Boston, MA","Boston, MA",201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72,56.5,"C Space
", MA,27,0,0,0,0,0
Data Scientist,$96K-$161K (Glassdoor est.),Job Description,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,96,161,128.5,"Numeric, LLC
", PA,-1,0,0,0,0,0
R&D Data Analysis Scientist,$65K-$130K (Glassdoor est.),Job Description,4.0,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,130,97.5,"HP Inc.
", WA,87,0,0,0,0,0
Analytics Consultant,$52K-$81K (Glassdoor est.),Job Description,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,52,81,66.5,"SpringML
", IN,11,0,0,0,0,0
"Director, Data Science",$139K-$220K (Glassdoor est.),Job Description,3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,139,220,179.5,"Grainger
", IL,99,0,0,0,0,0
Scientist,$50K-$102K (Glassdoor est.),Job Description,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,50,102,76.0,"EAG Laboratories
", MO,48,0,0,0,0,0
Data Scientist SR,$85K-$139K (Glassdoor est.),Job Description,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139,112.0,"The Buffalo Group
", VA,16,0,0,0,0,0
Data Scientist,$74K-$122K (Glassdoor est.),Job Description,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74,122,98.0,"Carmeuse
", PA,166,0,0,0,0,0
R&D Sr Data Scientist,$99K-$157K (Glassdoor est.),Job Description,4.0,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,99,157,128.0,"HP Inc.
", WA,87,0,0,0,0,0
Customer Data Scientist/Sales Engineer (Bay,$79K-$222K (Glassdoor est.),Job Description,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,79,222,150.5,"h2o.ai
", CA,15,0,0,0,0,0
Research Scientist,$57K-$118K (Glassdoor est.),Job Description,1.9,"GNS Healthcare
1.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,57,118,87.5,"GNS Healthcare
", MA,26,0,0,0,0,0
Data Scientist,$83K-$137K (Glassdoor est.),Job Description,3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,83,137,110.0,"Peraton
", VA,9,0,0,0,0,0
Data Scientist,$86K-$141K (Glassdoor est.),Job Description,4.4,"Pactera
4.4","San Jose, CA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",0,0,86,141,113.5,"Pactera
", CA,31,0,0,0,0,0
Data Scientist,$94K-$154K (Glassdoor est.),Job Description,3.9,"Nurx
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,0,0,94,154,124.0,"Nurx
", CA,10,0,0,0,0,0
Jr. Business Data Analyst,$37K-$76K (Glassdoor est.),Job Description,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,0,0,37,76,56.5,"webfx.com
", PA,29,0,0,0,0,0
Data Scientist,$100K-$160K (Glassdoor est.),Job Description,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",0,0,100,160,130.0,"Johns Hopkins University Applied Physics Laboratory
", MD,84,0,0,0,0,0
Data Analyst,$55K-$100K (Glassdoor est.),Job Description,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",0,0,55,100,77.5,"Productive Edge
", IL,18,0,0,0,0,0
Data Engineer,$60K-$114K (Glassdoor est.),Job Description,4.0,"Excella Consulting
4.0","Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,60,114,87.0,"Excella Consulting
", VA,24,0,0,0,0,0
